1,2,3
7.2209,177.1,5256.8
32.324,2022,23532
65.913,1308,47984
70.164,338.3,51079
74.589,1956.6,54301
78.736,2407.3,57320
79.704,1893.2,58024
80.258,682,58428
81.52,1979.1,59347
83.819,1255.6,61020
85.945,1359.3,62568
88.644,1307.3,64533
91.188,2074.7,66385
94.32,2135.2,68665
96.48,1510.4,70237
104.25,1137.1,75896
107.42,1542.6,78199
110.34,1203.2,80327
111.63,1980.7,81266
117.81,1880.1,85762
123.19,920,89685
123.27,1481.5,89741
131.11,1685.5,95449
141.33,776.83,1.0289e+005
146.06,3212.2,1.0633e+005
147.7,2123,1.0753e+005
148.82,1651.5,1.0834e+005
195.76,2624.1,1.4252e+005
195.82,1816.8,1.4255e+005
210.28,1338,1.5309e+005
223.64,2354.8,1.6281e+005
229.25,1071.4,1.669e+005
236.66,2620.8,1.7229e+005
237.12,1517.4,1.7262e+005
300.56,2022,2.1881e+005
318.37,2617.3,2.3177e+005
341.85,2314,2.4887e+005
